Team,Stadium,Location,Capacity_raw,Season,Tier,Country,SourceURL,Capacity,City,GeoPlace,MapLabel
Arsenal,Highbury,London (Highbury),38419,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,38419,London (Highbury),"Highbury, London (Highbury), England",Highbury (Arsenal) — London (Highbury)
Aston Villa,Villa Park,Birmingham,39399,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,39399,Birmingham,"Villa Park, Birmingham, England",Villa Park (Aston Villa) — Birmingham
Blackburn Rovers,Ewood Park,Blackburn,31367,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,31367,Blackburn,"Ewood Park, Blackburn, England",Ewood Park (Blackburn Rovers) — Blackburn
Chelsea,Stamford Bridge,London (Fulham),36000,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,36000,London (Fulham),"Stamford Bridge, London (Fulham), England",Stamford Bridge (Chelsea) — London (Fulham)
Coventry City,Highfield Road,Coventry,23489,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,23489,Coventry,"Highfield Road, Coventry, England",Highfield Road (Coventry City) — Coventry
Crystal Palace,Selhurst Park,London (Selhurst),26309,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,26309,London (Selhurst),"Selhurst Park, London (Selhurst), England",Selhurst Park (Crystal Palace) — London (Selhurst)
Everton,Goodison Park,Liverpool (Walton),40157,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,40157,Liverpool (Walton),"Goodison Park, Liverpool (Walton), England",Goodison Park (Everton) — Liverpool (Walton)
Ipswich Town,Portman Road,Ipswich,30300,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,30300,Ipswich,"Portman Road, Ipswich, England",Portman Road (Ipswich Town) — Ipswich
Leeds United,Elland Road,Leeds,40204,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,40204,Leeds,"Elland Road, Leeds, England",Elland Road (Leeds United) — Leeds
Liverpool,Anfield,Liverpool (Anfield),42730,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,42730,Liverpool (Anfield),"Anfield, Liverpool (Anfield), England",Anfield (Liverpool) — Liverpool (Anfield)
Manchester City,Maine Road,Manchester (Moss Side),35150,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,35150,Manchester (Moss Side),"Maine Road, Manchester (Moss Side), England",Maine Road (Manchester City) — Manchester (Moss Side)
Manchester United,Old Trafford,Manchester (Old Trafford),55314,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,55314,Manchester (Old Trafford),"Old Trafford, Manchester (Old Trafford), England",Old Trafford (Manchester United) — Manchester (Old Trafford)
Middlesbrough,Ayresome Park,Middlesbrough,26667,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,26667,Middlesbrough,"Ayresome Park, Middlesbrough, England",Ayresome Park (Middlesbrough) — Middlesbrough
Norwich City,Carrow Road,Norwich,27010,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,27010,Norwich,"Carrow Road, Norwich, England",Carrow Road (Norwich City) — Norwich
Nottingham Forest,City Ground,West Bridgford,30539,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,30539,West Bridgford,"City Ground, West Bridgford, England",City Ground (Nottingham Forest) — West Bridgford
Oldham Athletic,Boundary Park,Manchester (Oldham),13512,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,13512,Manchester (Oldham),"Boundary Park, Manchester (Oldham), England",Boundary Park (Oldham Athletic) — Manchester (Oldham)
Queens Park Rangers,Loftus Road,London (Shepherd's Bush),18439,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,18439,London (Shepherd's Bush),"Loftus Road, London (Shepherd's Bush), England",Loftus Road (Queens Park Rangers) — London (Shepherd's Bush)
Sheffield United,Bramall Lane,Sheffield (Highfield),32702,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,32702,Sheffield (Highfield),"Bramall Lane, Sheffield (Highfield), England",Bramall Lane (Sheffield United) — Sheffield (Highfield)
Sheffield Wednesday,Hillsborough Stadium,Sheffield (Owlerton),39859,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,39859,Sheffield (Owlerton),"Hillsborough Stadium, Sheffield (Owlerton), England",Hillsborough Stadium (Sheffield Wednesday) — Sheffield (Owlerton)
Southampton,The Dell,Southampton,15200,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,15200,Southampton,"The Dell, Southampton, England",The Dell (Southampton) — Southampton
Tottenham Hotspur,White Hart Lane,London (Tottenham),36230,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,36230,London (Tottenham),"White Hart Lane, London (Tottenham), England",White Hart Lane (Tottenham Hotspur) — London (Tottenham)
Wimbledon,Selhurst Park,London (Selhurst),26309,1992–93,1,England,https://en.wikipedia.org/wiki/1992–93_FA_Premier_League,26309,London (Selhurst),"Selhurst Park, London (Selhurst), England",Selhurst Park (Wimbledon) — London (Selhurst)
Arsenal,Highbury,London (Highbury),38419,1993–94,1,England,https://en.wikipedia.org/wiki/1993–94_FA_Premier_League,38419,London (Highbury),"Highbury, London (Highbury), England",Highbury (Arsenal) — London (Highbury)
Aston Villa,Villa Park,Birmingham,39399,1993–94,1,England,https://en.wikipedia.org/wiki/1993–94_FA_Premier_League,39399,Birmingham,"Villa Park, Birmingham, England",Villa Park (Aston Villa) — Birmingham
Blackburn Rovers,Ewood Park,Blackburn,31367,1993–94,1,England,https://en.wikipedia.org/wiki/1993–94_FA_Premier_League,31367,Blackburn,"Ewood Park, Blackburn, England",Ewood Park (Blackburn Rovers) — Blackburn
Chelsea,Stamford Bridge,London (Fulham),36000,1993–94,1,England,https://en.wikipedia.org/wiki/1993–94_FA_Premier_League,36000,London (Fulham),"Stamford Bridge, London (Fulham), England",Stamford Bridge (Chelsea) — London (Fulham)
Coventry City,Highfield Road,Coventry,23489,1993–94,1,England,https://en.wikipedia.org/wiki/1993–94_FA_Premier_League,23489,Coventry,"Highfield Road, Coventry, England",Highfield Road (Coventry City) — Coventry
Everton,Goodison Park,Liverpool (Walton),40157,1993–94,1,England,https://en.wikipedia.org/wiki/1993–94_FA_Premier_League,40157,Liverpool (Walton),"Goodison Park, Liverpool (Walton), England",Goodison Park (Everton) — Liverpool (Walton)
Ipswich Town,Portman Road,Ipswich,30300,1993–94,1,England,https://en.wikipedia.org/wiki/1993–94_FA_Premier_League,30300,Ipswich,"Portman Road, Ipswich, England",Portman Road (Ipswich Town) — Ipswich
Leeds United,Elland Road,Leeds,40204,1993–94,1,England,https://en.wikipedia.org/wiki/1993–94_FA_Premier_League,40204,Leeds,"Elland Road, Leeds, England",Elland Road (Leeds United) — Leeds
Liverpool,Anfield,Liverpool (Anfield),42730,1993–94,1,England,https://en.wikipedia.org/wiki/1993–94_FA_Premier_League,42730,Liverpool (Anfield),"Anfield, Liverpool (Anfield), England",Anfield (Liverpool) — Liverpool (Anfield)
Manchester City,Maine Road,Manchester (Moss Side),35150,1993–94,1,England,https://en.wikipedia.org/wiki/1993–94_FA_Premier_League,35150,Manchester (Moss Side),"Maine Road, Manchester (Moss Side), England",Maine Road (Manchester City) — Manchester (Moss Side)
Manchester United,Old Trafford,Manchester (Old Trafford),55314,1993–94,1,England,https://en.wikipedia.org/wiki/1993–94_FA_Premier_League,55314,Manchester (Old Trafford),"Old Trafford, Manchester (Old Trafford), England",Old Trafford (Manchester United) — Manchester (Old Trafford)
Newcastle United,St James' Park,Newcastle upon Tyne,36649,1993–94,1,England,https://en.wikipedia.org/wiki/1993–94_FA_Premier_League,36649,Newcastle upon Tyne,"St James' Park, Newcastle upon Tyne, England",St James' Park (Newcastle United) — Newcastle upon Tyne
Norwich City,Carrow Road,Norwich,27010,1993–94,1,England,https://en.wikipedia.org/wiki/1993–94_FA_Premier_League,27010,Norwich,"Carrow Road, Norwich, England",Carrow Road (Norwich City) — Norwich
Oldham Athletic,Boundary Park,Oldham,13512,1993–94,1,England,https://en.wikipedia.org/wiki/1993–94_FA_Premier_League,13512,Oldham,"Boundary Park, Oldham, England",Boundary Park (Oldham Athletic) — Oldham
Queens Park Rangers,Loftus Road,London (Shepherd's Bush),18439,1993–94,1,England,https://en.wikipedia.org/wiki/1993–94_FA_Premier_League,18439,London (Shepherd's Bush),"Loftus Road, London (Shepherd's Bush), England",Loftus Road (Queens Park Rangers) — London (Shepherd's Bush)
Sheffield United,Bramall Lane,Sheffield (Highfield),32702,1993–94,1,England,https://en.wikipedia.org/wiki/1993–94_FA_Premier_League,32702,Sheffield (Highfield),"Bramall Lane, Sheffield (Highfield), England",Bramall Lane (Sheffield United) — Sheffield (Highfield)
Sheffield Wednesday,Hillsborough Stadium,Sheffield (Owlerton),39859,1993–94,1,England,https://en.wikipedia.org/wiki/1993–94_FA_Premier_League,39859,Sheffield (Owlerton),"Hillsborough Stadium, Sheffield (Owlerton), England",Hillsborough Stadium (Sheffield Wednesday) — Sheffield (Owlerton)
Southampton,The Dell,Southampton,15200,1993–94,1,England,https://en.wikipedia.org/wiki/1993–94_FA_Premier_League,15200,Southampton,"The Dell, Southampton, England",The Dell (Southampton) — Southampton
Swindon Town,County Ground,Swindon,18152,1993–94,1,England,https://en.wikipedia.org/wiki/1993–94_FA_Premier_League,18152,Swindon,"County Ground, Swindon, England",County Ground (Swindon Town) — Swindon
Tottenham Hotspur,White Hart Lane,London (Tottenham),36230,1993–94,1,England,https://en.wikipedia.org/wiki/1993–94_FA_Premier_League,36230,London (Tottenham),"White Hart Lane, London (Tottenham), England",White Hart Lane (Tottenham Hotspur) — London (Tottenham)
West Ham United,Boleyn Ground,London (Upton Park),28000,1993–94,1,England,https://en.wikipedia.org/wiki/1993–94_FA_Premier_League,28000,London (Upton Park),"Boleyn Ground, London (Upton Park), England",Boleyn Ground (West Ham United) — London (Upton Park)
Wimbledon,Selhurst Park,London (Selhurst),26309,1993–94,1,England,https://en.wikipedia.org/wiki/1993–94_FA_Premier_League,26309,London (Selhurst),"Selhurst Park, London (Selhurst), England",Selhurst Park (Wimbledon) — London (Selhurst)
Arsenal,Highbury,London (Highbury),38419,1994–95,1,England,https://en.wikipedia.org/wiki/1994–95_FA_Premier_League,38419,London (Highbury),"Highbury, London (Highbury), England",Highbury (Arsenal) — London (Highbury)
Aston Villa,Villa Park,Birmingham,39399,1994–95,1,England,https://en.wikipedia.org/wiki/1994–95_FA_Premier_League,39399,Birmingham,"Villa Park, Birmingham, England",Villa Park (Aston Villa) — Birmingham
Blackburn Rovers,Ewood Park,Blackburn,31367,1994–95,1,England,https://en.wikipedia.org/wiki/1994–95_FA_Premier_League,31367,Blackburn,"Ewood Park, Blackburn, England",Ewood Park (Blackburn Rovers) — Blackburn
Chelsea,Stamford Bridge,London (Fulham),36000,1994–95,1,England,https://en.wikipedia.org/wiki/1994–95_FA_Premier_League,36000,London (Fulham),"Stamford Bridge, London (Fulham), England",Stamford Bridge (Chelsea) — London (Fulham)
Coventry City,Highfield Road,Coventry,23489,1994–95,1,England,https://en.wikipedia.org/wiki/1994–95_FA_Premier_League,23489,Coventry,"Highfield Road, Coventry, England",Highfield Road (Coventry City) — Coventry
Crystal Palace,Selhurst Park,London (Selhurst),26309,1994–95,1,England,https://en.wikipedia.org/wiki/1994–95_FA_Premier_League,26309,London (Selhurst),"Selhurst Park, London (Selhurst), England",Selhurst Park (Crystal Palace) — London (Selhurst)
Everton,Goodison Park,Liverpool (Walton),40157,1994–95,1,England,https://en.wikipedia.org/wiki/1994–95_FA_Premier_League,40157,Liverpool (Walton),"Goodison Park, Liverpool (Walton), England",Goodison Park (Everton) — Liverpool (Walton)
Ipswich Town,Portman Road,Ipswich,30300,1994–95,1,England,https://en.wikipedia.org/wiki/1994–95_FA_Premier_League,30300,Ipswich,"Portman Road, Ipswich, England",Portman Road (Ipswich Town) — Ipswich
Leeds United,Elland Road,Leeds,40204,1994–95,1,England,https://en.wikipedia.org/wiki/1994–95_FA_Premier_League,40204,Leeds,"Elland Road, Leeds, England",Elland Road (Leeds United) — Leeds
Leicester City,Filbert Street,Leicester,22000,1994–95,1,England,https://en.wikipedia.org/wiki/1994–95_FA_Premier_League,22000,Leicester,"Filbert Street, Leicester, England",Filbert Street (Leicester City) — Leicester
Liverpool,Anfield,Liverpool (Anfield),42730,1994–95,1,England,https://en.wikipedia.org/wiki/1994–95_FA_Premier_League,42730,Liverpool (Anfield),"Anfield, Liverpool (Anfield), England",Anfield (Liverpool) — Liverpool (Anfield)
Manchester City,Maine Road,Manchester (Moss Side),35150,1994–95,1,England,https://en.wikipedia.org/wiki/1994–95_FA_Premier_League,35150,Manchester (Moss Side),"Maine Road, Manchester (Moss Side), England",Maine Road (Manchester City) — Manchester (Moss Side)
Manchester United,Old Trafford,Manchester (Old Trafford),55314,1994–95,1,England,https://en.wikipedia.org/wiki/1994–95_FA_Premier_League,55314,Manchester (Old Trafford),"Old Trafford, Manchester (Old Trafford), England",Old Trafford (Manchester United) — Manchester (Old Trafford)
Newcastle United,St James' Park,Newcastle upon Tyne,36649,1994–95,1,England,https://en.wikipedia.org/wiki/1994–95_FA_Premier_League,36649,Newcastle upon Tyne,"St James' Park, Newcastle upon Tyne, England",St James' Park (Newcastle United) — Newcastle upon Tyne
Norwich City,Carrow Road,Norwich,27010,1994–95,1,England,https://en.wikipedia.org/wiki/1994–95_FA_Premier_League,27010,Norwich,"Carrow Road, Norwich, England",Carrow Road (Norwich City) — Norwich
Nottingham Forest,City Ground,West Bridgford,30539,1994–95,1,England,https://en.wikipedia.org/wiki/1994–95_FA_Premier_League,30539,West Bridgford,"City Ground, West Bridgford, England",City Ground (Nottingham Forest) — West Bridgford
Queens Park Rangers,Loftus Road,London (Shepherd's Bush),18439,1994–95,1,England,https://en.wikipedia.org/wiki/1994–95_FA_Premier_League,18439,London (Shepherd's Bush),"Loftus Road, London (Shepherd's Bush), England",Loftus Road (Queens Park Rangers) — London (Shepherd's Bush)
Sheffield Wednesday,Hillsborough Stadium,Sheffield,39859,1994–95,1,England,https://en.wikipedia.org/wiki/1994–95_FA_Premier_League,39859,Sheffield,"Hillsborough Stadium, Sheffield, England",Hillsborough Stadium (Sheffield Wednesday) — Sheffield
Southampton,The Dell,Southampton,15200,1994–95,1,England,https://en.wikipedia.org/wiki/1994–95_FA_Premier_League,15200,Southampton,"The Dell, Southampton, England",The Dell (Southampton) — Southampton
Tottenham Hotspur,White Hart Lane,London (Tottenham),36230,1994–95,1,England,https://en.wikipedia.org/wiki/1994–95_FA_Premier_League,36230,London (Tottenham),"White Hart Lane, London (Tottenham), England",White Hart Lane (Tottenham Hotspur) — London (Tottenham)
West Ham United,Boleyn Ground,London (Upton Park),28000,1994–95,1,England,https://en.wikipedia.org/wiki/1994–95_FA_Premier_League,28000,London (Upton Park),"Boleyn Ground, London (Upton Park), England",Boleyn Ground (West Ham United) — London (Upton Park)
Wimbledon,Selhurst Park,London (Selhurst),26309,1994–95,1,England,https://en.wikipedia.org/wiki/1994–95_FA_Premier_League,26309,London (Selhurst),"Selhurst Park, London (Selhurst), England",Selhurst Park (Wimbledon) — London (Selhurst)
Arsenal,Arsenal Stadium,London (Highbury),38419,1995–96,1,England,https://en.wikipedia.org/wiki/1995–96_FA_Premier_League,38419,London (Highbury),"Arsenal Stadium, London (Highbury), England",Arsenal Stadium (Arsenal) — London (Highbury)
Aston Villa,Villa Park,Birmingham,39399,1995–96,1,England,https://en.wikipedia.org/wiki/1995–96_FA_Premier_League,39399,Birmingham,"Villa Park, Birmingham, England",Villa Park (Aston Villa) — Birmingham
Blackburn Rovers,Ewood Park,Blackburn,31367,1995–96,1,England,https://en.wikipedia.org/wiki/1995–96_FA_Premier_League,31367,Blackburn,"Ewood Park, Blackburn, England",Ewood Park (Blackburn Rovers) — Blackburn
Bolton Wanderers,Burnden Park,Bolton,25000,1995–96,1,England,https://en.wikipedia.org/wiki/1995–96_FA_Premier_League,25000,Bolton,"Burnden Park, Bolton, England",Burnden Park (Bolton Wanderers) — Bolton
Chelsea,Stamford Bridge,London (Fulham),36000,1995–96,1,England,https://en.wikipedia.org/wiki/1995–96_FA_Premier_League,36000,London (Fulham),"Stamford Bridge, London (Fulham), England",Stamford Bridge (Chelsea) — London (Fulham)
Coventry City,Highfield Road,Coventry,23489,1995–96,1,England,https://en.wikipedia.org/wiki/1995–96_FA_Premier_League,23489,Coventry,"Highfield Road, Coventry, England",Highfield Road (Coventry City) — Coventry
Everton,Goodison Park,Liverpool (Walton),40157,1995–96,1,England,https://en.wikipedia.org/wiki/1995–96_FA_Premier_League,40157,Liverpool (Walton),"Goodison Park, Liverpool (Walton), England",Goodison Park (Everton) — Liverpool (Walton)
Leeds United,Elland Road,Leeds,40204,1995–96,1,England,https://en.wikipedia.org/wiki/1995–96_FA_Premier_League,40204,Leeds,"Elland Road, Leeds, England",Elland Road (Leeds United) — Leeds
Liverpool,Anfield,Liverpool (Anfield),42730,1995–96,1,England,https://en.wikipedia.org/wiki/1995–96_FA_Premier_League,42730,Liverpool (Anfield),"Anfield, Liverpool (Anfield), England",Anfield (Liverpool) — Liverpool (Anfield)
Manchester City,Maine Road,Manchester (Moss Side),35150,1995–96,1,England,https://en.wikipedia.org/wiki/1995–96_FA_Premier_League,35150,Manchester (Moss Side),"Maine Road, Manchester (Moss Side), England",Maine Road (Manchester City) — Manchester (Moss Side)
Manchester United,Old Trafford,Manchester (Old Trafford),55314,1995–96,1,England,https://en.wikipedia.org/wiki/1995–96_FA_Premier_League,55314,Manchester (Old Trafford),"Old Trafford, Manchester (Old Trafford), England",Old Trafford (Manchester United) — Manchester (Old Trafford)
Middlesbrough,Riverside Stadium,Middlesbrough,30000,1995–96,1,England,https://en.wikipedia.org/wiki/1995–96_FA_Premier_League,30000,Middlesbrough,"Riverside Stadium, Middlesbrough, England",Riverside Stadium (Middlesbrough) — Middlesbrough
Newcastle United,St James' Park,Newcastle upon Tyne,36649,1995–96,1,England,https://en.wikipedia.org/wiki/1995–96_FA_Premier_League,36649,Newcastle upon Tyne,"St James' Park, Newcastle upon Tyne, England",St James' Park (Newcastle United) — Newcastle upon Tyne
Nottingham Forest,City Ground,West Bridgford,30539,1995–96,1,England,https://en.wikipedia.org/wiki/1995–96_FA_Premier_League,30539,West Bridgford,"City Ground, West Bridgford, England",City Ground (Nottingham Forest) — West Bridgford
Queens Park Rangers,Loftus Road,London (Shepherd's Bush),18439,1995–96,1,England,https://en.wikipedia.org/wiki/1995–96_FA_Premier_League,18439,London (Shepherd's Bush),"Loftus Road, London (Shepherd's Bush), England",Loftus Road (Queens Park Rangers) — London (Shepherd's Bush)
Sheffield Wednesday,Hillsborough Stadium,Sheffield,39859,1995–96,1,England,https://en.wikipedia.org/wiki/1995–96_FA_Premier_League,39859,Sheffield,"Hillsborough Stadium, Sheffield, England",Hillsborough Stadium (Sheffield Wednesday) — Sheffield
Southampton,The Dell,Southampton,15200,1995–96,1,England,https://en.wikipedia.org/wiki/1995–96_FA_Premier_League,15200,Southampton,"The Dell, Southampton, England",The Dell (Southampton) — Southampton
Tottenham Hotspur,White Hart Lane,London (Tottenham),36230,1995–96,1,England,https://en.wikipedia.org/wiki/1995–96_FA_Premier_League,36230,London (Tottenham),"White Hart Lane, London (Tottenham), England",White Hart Lane (Tottenham Hotspur) — London (Tottenham)
West Ham United,Boleyn Ground,London (Upton Park),28000,1995–96,1,England,https://en.wikipedia.org/wiki/1995–96_FA_Premier_League,28000,London (Upton Park),"Boleyn Ground, London (Upton Park), England",Boleyn Ground (West Ham United) — London (Upton Park)
Wimbledon,Selhurst Park,London (Selhurst),26309,1995–96,1,England,https://en.wikipedia.org/wiki/1995–96_FA_Premier_League,26309,London (Selhurst),"Selhurst Park, London (Selhurst), England",Selhurst Park (Wimbledon) — London (Selhurst)
Arsenal,Arsenal Stadium,London (Highbury),38419,1996–97,1,England,https://en.wikipedia.org/wiki/1996–97_FA_Premier_League,38419,London (Highbury),"Arsenal Stadium, London (Highbury), England",Arsenal Stadium (Arsenal) — London (Highbury)
Aston Villa,Villa Park,Birmingham,39399,1996–97,1,England,https://en.wikipedia.org/wiki/1996–97_FA_Premier_League,39399,Birmingham,"Villa Park, Birmingham, England",Villa Park (Aston Villa) — Birmingham
Blackburn Rovers,Ewood Park,Blackburn,31367,1996–97,1,England,https://en.wikipedia.org/wiki/1996–97_FA_Premier_League,31367,Blackburn,"Ewood Park, Blackburn, England",Ewood Park (Blackburn Rovers) — Blackburn
Chelsea,Stamford Bridge,London (Fulham),36000,1996–97,1,England,https://en.wikipedia.org/wiki/1996–97_FA_Premier_League,36000,London (Fulham),"Stamford Bridge, London (Fulham), England",Stamford Bridge (Chelsea) — London (Fulham)
Coventry City,Highfield Road,Coventry,23489,1996–97,1,England,https://en.wikipedia.org/wiki/1996–97_FA_Premier_League,23489,Coventry,"Highfield Road, Coventry, England",Highfield Road (Coventry City) — Coventry
Derby County,Baseball Ground,Derby,18300,1996–97,1,England,https://en.wikipedia.org/wiki/1996–97_FA_Premier_League,18300,Derby,"Baseball Ground, Derby, England",Baseball Ground (Derby County) — Derby
Everton,Goodison Park,Liverpool (Walton),40157,1996–97,1,England,https://en.wikipedia.org/wiki/1996–97_FA_Premier_League,40157,Liverpool (Walton),"Goodison Park, Liverpool (Walton), England",Goodison Park (Everton) — Liverpool (Walton)
Leeds United,Elland Road,Leeds,40204,1996–97,1,England,https://en.wikipedia.org/wiki/1996–97_FA_Premier_League,40204,Leeds,"Elland Road, Leeds, England",Elland Road (Leeds United) — Leeds
Leicester City,Filbert Street,Leicester,22000,1996–97,1,England,https://en.wikipedia.org/wiki/1996–97_FA_Premier_League,22000,Leicester,"Filbert Street, Leicester, England",Filbert Street (Leicester City) — Leicester
Liverpool,Anfield,Liverpool (Anfield),42730,1996–97,1,England,https://en.wikipedia.org/wiki/1996–97_FA_Premier_League,42730,Liverpool (Anfield),"Anfield, Liverpool (Anfield), England",Anfield (Liverpool) — Liverpool (Anfield)
Manchester United,Old Trafford,Manchester,55314,1996–97,1,England,https://en.wikipedia.org/wiki/1996–97_FA_Premier_League,55314,Manchester,"Old Trafford, Manchester, England",Old Trafford (Manchester United) — Manchester
Middlesbrough,Riverside Stadium,Middlesbrough,30000,1996–97,1,England,https://en.wikipedia.org/wiki/1996–97_FA_Premier_League,30000,Middlesbrough,"Riverside Stadium, Middlesbrough, England",Riverside Stadium (Middlesbrough) — Middlesbrough
Newcastle United,St James' Park,Newcastle upon Tyne,36649,1996–97,1,England,https://en.wikipedia.org/wiki/1996–97_FA_Premier_League,36649,Newcastle upon Tyne,"St James' Park, Newcastle upon Tyne, England",St James' Park (Newcastle United) — Newcastle upon Tyne
Nottingham Forest,City Ground,West Bridgford,30539,1996–97,1,England,https://en.wikipedia.org/wiki/1996–97_FA_Premier_League,30539,West Bridgford,"City Ground, West Bridgford, England",City Ground (Nottingham Forest) — West Bridgford
Sheffield Wednesday,Hillsborough Stadium,Sheffield,39859,1996–97,1,England,https://en.wikipedia.org/wiki/1996–97_FA_Premier_League,39859,Sheffield,"Hillsborough Stadium, Sheffield, England",Hillsborough Stadium (Sheffield Wednesday) — Sheffield
Southampton,The Dell,Southampton,15200,1996–97,1,England,https://en.wikipedia.org/wiki/1996–97_FA_Premier_League,15200,Southampton,"The Dell, Southampton, England",The Dell (Southampton) — Southampton
Sunderland,Roker Park,Sunderland,22500,1996–97,1,England,https://en.wikipedia.org/wiki/1996–97_FA_Premier_League,22500,Sunderland,"Roker Park, Sunderland, England",Roker Park (Sunderland) — Sunderland
Tottenham Hotspur,White Hart Lane,London (Tottenham),36230,1996–97,1,England,https://en.wikipedia.org/wiki/1996–97_FA_Premier_League,36230,London (Tottenham),"White Hart Lane, London (Tottenham), England",White Hart Lane (Tottenham Hotspur) — London (Tottenham)
West Ham United,Boleyn Ground,London (Upton Park),28000,1996–97,1,England,https://en.wikipedia.org/wiki/1996–97_FA_Premier_League,28000,London (Upton Park),"Boleyn Ground, London (Upton Park), England",Boleyn Ground (West Ham United) — London (Upton Park)
Wimbledon,Selhurst Park,London (Selhurst),26309,1996–97,1,England,https://en.wikipedia.org/wiki/1996–97_FA_Premier_League,26309,London (Selhurst),"Selhurst Park, London (Selhurst), England",Selhurst Park (Wimbledon) — London (Selhurst)
Arsenal,Arsenal Stadium,London (Highbury),38419,1997–98,1,England,https://en.wikipedia.org/wiki/1997–98_FA_Premier_League,38419,London (Highbury),"Arsenal Stadium, London (Highbury), England",Arsenal Stadium (Arsenal) — London (Highbury)
Aston Villa,Villa Park,Birmingham,42573,1997–98,1,England,https://en.wikipedia.org/wiki/1997–98_FA_Premier_League,42573,Birmingham,"Villa Park, Birmingham, England",Villa Park (Aston Villa) — Birmingham
Barnsley,Oakwell,Barnsley,23287,1997–98,1,England,https://en.wikipedia.org/wiki/1997–98_FA_Premier_League,23287,Barnsley,"Oakwell, Barnsley, England",Oakwell (Barnsley) — Barnsley
Blackburn Rovers,Ewood Park,Blackburn,31367,1997–98,1,England,https://en.wikipedia.org/wiki/1997–98_FA_Premier_League,31367,Blackburn,"Ewood Park, Blackburn, England",Ewood Park (Blackburn Rovers) — Blackburn
Bolton Wanderers,Reebok Stadium,Bolton,28723,1997–98,1,England,https://en.wikipedia.org/wiki/1997–98_FA_Premier_League,28723,Bolton,"Reebok Stadium, Bolton, England",Reebok Stadium (Bolton Wanderers) — Bolton
Chelsea,Stamford Bridge,London (Fulham),42055,1997–98,1,England,https://en.wikipedia.org/wiki/1997–98_FA_Premier_League,42055,London (Fulham),"Stamford Bridge, London (Fulham), England",Stamford Bridge (Chelsea) — London (Fulham)
Coventry City,Highfield Road,Coventry,23489,1997–98,1,England,https://en.wikipedia.org/wiki/1997–98_FA_Premier_League,23489,Coventry,"Highfield Road, Coventry, England",Highfield Road (Coventry City) — Coventry
Crystal Palace,Selhurst Park,London (Selhurst),26074,1997–98,1,England,https://en.wikipedia.org/wiki/1997–98_FA_Premier_League,26074,London (Selhurst),"Selhurst Park, London (Selhurst), England",Selhurst Park (Crystal Palace) — London (Selhurst)
Derby County,Pride Park Stadium,Derby,33597,1997–98,1,England,https://en.wikipedia.org/wiki/1997–98_FA_Premier_League,33597,Derby,"Pride Park Stadium, Derby, England",Pride Park Stadium (Derby County) — Derby
Everton,Goodison Park,Liverpool (Walton),40569,1997–98,1,England,https://en.wikipedia.org/wiki/1997–98_FA_Premier_League,40569,Liverpool (Walton),"Goodison Park, Liverpool (Walton), England",Goodison Park (Everton) — Liverpool (Walton)
Leeds United,Elland Road,Leeds,40242,1997–98,1,England,https://en.wikipedia.org/wiki/1997–98_FA_Premier_League,40242,Leeds,"Elland Road, Leeds, England",Elland Road (Leeds United) — Leeds
Leicester City,Filbert Street,Leicester,22000,1997–98,1,England,https://en.wikipedia.org/wiki/1997–98_FA_Premier_League,22000,Leicester,"Filbert Street, Leicester, England",Filbert Street (Leicester City) — Leicester
Liverpool,Anfield,Liverpool (Anfield),45522,1997–98,1,England,https://en.wikipedia.org/wiki/1997–98_FA_Premier_League,45522,Liverpool (Anfield),"Anfield, Liverpool (Anfield), England",Anfield (Liverpool) — Liverpool (Anfield)
Manchester United,Old Trafford,Manchester,55385,1997–98,1,England,https://en.wikipedia.org/wiki/1997–98_FA_Premier_League,55385,Manchester,"Old Trafford, Manchester, England",Old Trafford (Manchester United) — Manchester
