Player,Season,Age,Nation,Team,Comp,Pos,PKatt,PK,PKm,Conversion%,conversion_rate
Zlatan Ibrahimović,2016-2017,34.0,se SWE,Manchester Utd,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Trevor Morley,1993-1994,32.0,eng ENG,West Ham,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Tony Cottee,1993-1994,28.0,eng ENG,Everton,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Stuart Pearce,1996-1997,34.0,eng ENG,Nott'ham Forest,EPL,DF,3.0,2.0,1.0,66.67,0.6666666666666666
Steven Gerrard,2010-2011,30.0,eng ENG,Liverpool,EPL,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Steed Malbranque,2003-2004,23.0,fr FRA,Fulham,EPL,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Sergio Agüero,2019-2020,31.0,ar ARG,Manchester City,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Ruud van Nistelrooy,2005-2006,29.0,nl NED,Manchester Utd,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Romelu Lukaku,2012-2013,19.0,be BEL,West Brom,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Robin van Persie,2011-2012,27.0,nl NED,Arsenal,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Robin van Persie,2010-2011,26.0,nl NED,Arsenal,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Robin van Persie,2007-2008,23.0,nl NED,Arsenal,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Robert Earnshaw,2004-2005,23.0,wls WAL,West Brom,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Robbie Fowler,2004-2005,29.0,eng ENG,Manchester City,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Robbie Fowler,1996-1997,21.0,eng ENG,Liverpool,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Robbie Fowler,1994-1995,19.0,eng ENG,Liverpool,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Ricardo Fuller,2008-2009,28.0,jm JAM,Stoke City,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Raheem Sterling,2021-2022,26.0,eng ENG,Manchester City,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Peter Odemwingie,2010-2011,29.0,ng NGA,West Brom,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Peter Beardsley,1995-1996,34.0,eng ENG,Newcastle Utd,EPL,"FW,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Peter Beardsley,1996-1997,35.0,eng ENG,Newcastle Utd,EPL,"FW,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Paul Dickov,2004-2005,31.0,sct SCO,Blackburn,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Paul Dickov,2003-2004,30.0,sct SCO,Leicester City,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Nolberto Solano,2000-2001,25.0,pe PER,Newcastle Utd,EPL,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Neil Redfearn,1997-1998,32.0,eng ENG,Barnsley,EPL,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Milan Baroš,2004-2005,22.0,cz CZE,Liverpool,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Michael Owen,1997-1998,17.0,eng ENG,Liverpool,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Michael Ball,2000-2001,20.0,eng ENG,Everton,EPL,DF,3.0,2.0,1.0,66.67,0.6666666666666666
Marlon Harewood,2005-2006,25.0,eng ENG,West Ham,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Mark Stein,1993-1994,27.0,eng ENG,Chelsea,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Leighton Baines,2016-2017,31.0,eng ENG,Everton,EPL,DF,3.0,2.0,1.0,66.67,0.6666666666666666
Leighton Baines,2014-2015,29.0,eng ENG,Everton,EPL,DF,3.0,2.0,1.0,66.67,0.6666666666666666
Kevin De Bruyne,2020-2021,29.0,be BEL,Manchester City,EPL,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Julian Dicks,1993-1994,24.0,eng ENG,2 Teams,EPL,DF,3.0,2.0,1.0,66.67,0.6666666666666666
Juan Pablo Ángel,2003-2004,27.0,co COL,Aston Villa,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Joshua King,2016-2017,24.0,no NOR,Bournemouth,EPL,"FW,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Jonathan Walters,2013-2014,29.0,ie IRL,Stoke City,EPL,"FW,MF",3.0,2.0,1.0,66.67,0.6666666666666666
John Wark,1992-1993,34.0,sct SCO,Ipswich Town,EPL,MF,3.0,2.0,1.0,66.67,0.6666666666666666
John Sheridan,1993-1994,28.0,ie IRL,Sheffield Weds,EPL,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Jim Magilton,1996-1997,27.0,nir NIR,Southampton,EPL,"DF,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Jermain Defoe,2007-2008,24.0,eng ENG,2 Teams,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Jermain Defoe,2008-2009,25.0,eng ENG,2 Teams,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
James McFadden,2009-2010,26.0,sct SCO,Birmingham City,EPL,"FW,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Ian Harte,2000-2001,22.0,ie IRL,Leeds United,EPL,DF,3.0,2.0,1.0,66.67,0.6666666666666666
Harry Kane,2014-2015,21.0,eng ENG,Tottenham,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Harry Kane,2017-2018,24.0,eng ENG,Tottenham,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Gilles De Bilde,1999-2000,28.0,be BEL,Sheffield Weds,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Gary McAllister,1995-1996,30.0,sct SCO,Leeds United,EPL,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Erling Haaland,2024-2025,24.0,no NOR,Manchester City,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Eden Hazard,2016-2017,25.0,be BEL,Chelsea,EPL,"FW,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Dwight Yorke,1997-1998,25.0,tt TRI,Aston Villa,EPL,"FW,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Dominic Solanke,2023-2024,25.0,eng ENG,Bournemouth,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Dominic Calvert-Lewin,2021-2022,24.0,eng ENG,Everton,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Dion Dublin,2002-2003,33.0,eng ENG,Aston Villa,EPL,"DF,FW",3.0,2.0,1.0,66.67,0.6666666666666666
Didier Drogba,2010-2011,32.0,ci CIV,Chelsea,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Dennis Wise,1995-1996,28.0,eng ENG,Chelsea,EPL,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Dennis Bergkamp,1997-1998,28.0,nl NED,Arsenal,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Denis Irwin,1998-1999,32.0,ie IRL,Manchester Utd,EPL,DF,3.0,2.0,1.0,66.67,0.6666666666666666
Denis Irwin,1999-2000,33.0,ie IRL,Manchester Utd,EPL,DF,3.0,2.0,1.0,66.67,0.6666666666666666
Demba Ba,2011-2012,26.0,sn SEN,Newcastle Utd,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Dean Holdsworth,1994-1995,25.0,eng ENG,Wimbledon,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
David Unsworth,1996-1997,22.0,eng ENG,Everton,EPL,DF,3.0,2.0,1.0,66.67,0.6666666666666666
David Phillips,1992-1993,29.0,wls WAL,Norwich City,EPL,"DF,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Darren Huckerby,2004-2005,28.0,eng ENG,Norwich City,EPL,"FW,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Darren Anderton,2000-2001,28.0,eng ENG,Tottenham,EPL,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Danny Murphy,2007-2008,30.0,eng ENG,Fulham,EPL,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Craig Burley,1999-2000,27.0,sct SCO,Derby County,EPL,MF,3.0,2.0,1.0,66.67,0.6666666666666666
Chris Sutton,1996-1997,23.0,eng ENG,Blackburn,EPL,"DF,FW",3.0,2.0,1.0,66.67,0.6666666666666666
Chris Brunt,2010-2011,25.0,nir NIR,West Brom,EPL,"DF,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Chris Brunt,2008-2009,23.0,nir NIR,West Brom,EPL,"DF,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Bukayo Saka,2022-2023,20.0,eng ENG,Arsenal,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Bojan Krkić,2016-2017,25.0,es ESP,Stoke City,EPL,"FW,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Alexis Sánchez,2016-2017,27.0,cl CHI,Arsenal,EPL,"FW,MF",3.0,2.0,1.0,66.67,0.6666666666666666
Alexis Mac Allister,2021-2022,22.0,ar ARG,Brighton,EPL,"MF,FW",3.0,2.0,1.0,66.67,0.6666666666666666
Alexandre Lacazette,2021-2022,30.0,fr FRA,Arsenal,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Alan Shearer,2002-2003,31.0,eng ENG,Newcastle Utd,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Alan Shearer,2000-2001,29.0,eng ENG,Newcastle Utd,EPL,FW,3.0,2.0,1.0,66.67,0.6666666666666666
Ronaldinho,2004-2005,24.0,br BRA,Barcelona,CL,,3.0,2.0,1.0,66.67,0.6666666666666666
Juan Román Riquelme,2005-2006,27.0,ar ARG,Villarreal,CL,,3.0,2.0,1.0,66.67,0.6666666666666666
Ronaldinho,2005-2006,25.0,br BRA,Barcelona,CL,,3.0,2.0,1.0,66.67,0.6666666666666666
Cristiano Ronaldo,2013-2014,28.0,pt POR,Real Madrid,CL,,3.0,2.0,1.0,66.67,0.6666666666666666
Sergio Agüero,2014-2015,26.0,ar ARG,Manchester City,CL,,3.0,2.0,1.0,66.67,0.6666666666666666
Eden Hazard,2014-2015,23.0,be BEL,Chelsea,CL,,3.0,2.0,1.0,66.67,0.6666666666666666
Antoine Griezmann,2016-2017,25.0,fr FRA,Atlético Madrid,CL,,3.0,2.0,1.0,66.67,0.6666666666666666
Josip Iličić,2019-2020,31.0,si SVN,Atalanta,CL,,3.0,2.0,1.0,66.67,0.6666666666666666
Dimitri Payet,2020-2021,33.0,fr FRA,Marseille,CL,,3.0,2.0,1.0,66.67,0.6666666666666666
Karim Adeyemi,2021-2022,19.0,de GER,RB Salzburg,CL,,3.0,2.0,1.0,66.67,0.6666666666666666
Lionel Messi,2021-2022,34.0,ar ARG,Paris S-G,CL,,3.0,2.0,1.0,66.67,0.6666666666666666
Olivier Giroud,2022-2023,35.0,fr FRA,Milan,CL,,3.0,2.0,1.0,66.67,0.6666666666666666
Piotr Zieliński,2022-2023,28.0,pl POL,Napoli,CL,,3.0,2.0,1.0,66.67,0.6666666666666666
Erling Haaland,2024-2025,24.0,no�NOR,Manchester City,CL,,3.0,2.0,1.0,66.67,0.6666666666666666
Youri Tielemans,2020-2021,23.0,be BEL,Leicester City,EPL,MF,2.0,2.0,0.0,100.0,1.0
Youri Tielemans,2021-2022,24.0,be BEL,Leicester City,EPL,MF,2.0,2.0,0.0,100.0,1.0
Yaya Touré,2016-2017,33.0,ci CIV,Manchester City,EPL,MF,2.0,2.0,0.0,100.0,1.0
Yaya Touré,2014-2015,31.0,ci CIV,Manchester City,EPL,MF,2.0,2.0,0.0,100.0,1.0
Yakubu Aiyegbeni,2003-2004,20.0,ng NGA,Portsmouth,EPL,FW,2.0,2.0,0.0,100.0,1.0
Willian,2023-2024,34.0,br BRA,Fulham,EPL,FW,2.0,2.0,0.0,100.0,1.0
Wilfried Zaha,2020-2021,27.0,ci CIV,Crystal Palace,EPL,FW,2.0,2.0,0.0,100.0,1.0
Thomas Gravesen,2004-2005,28.0,dk DEN,Everton,EPL,MF,2.0,2.0,0.0,100.0,1.0
Thierry Henry,1999-2000,21.0,fr FRA,Arsenal,EPL,FW,2.0,2.0,0.0,100.0,1.0
Teemu Pukki,2019-2020,29.0,fi FIN,Norwich City,EPL,FW,2.0,2.0,0.0,100.0,1.0
Teddy Sheringham,1995-1996,29.0,eng ENG,Tottenham,EPL,FW,2.0,2.0,0.0,100.0,1.0
Stuart Pearce,1995-1996,33.0,eng ENG,Nott'ham Forest,EPL,DF,2.0,2.0,0.0,100.0,1.0
Stewart Downing,2007-2008,23.0,eng ENG,Middlesbrough,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
Steven Gerrard,2009-2010,29.0,eng ENG,Liverpool,EPL,MF,2.0,2.0,0.0,100.0,1.0
Steven Gerrard,2005-2006,25.0,eng ENG,Liverpool,EPL,MF,2.0,2.0,0.0,100.0,1.0
Steve Whitton,1992-1993,31.0,eng ENG,Ipswich Town,EPL,FW,2.0,2.0,0.0,100.0,1.0
Steve Chettle,1998-1999,29.0,eng ENG,Nott'ham Forest,EPL,DF,2.0,2.0,0.0,100.0,1.0
Steve Bruce,1992-1993,31.0,eng ENG,Manchester Utd,EPL,DF,2.0,2.0,0.0,100.0,1.0
Stephen Hunt,2007-2008,25.0,ie IRL,Reading,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
Son Heung-min,2023-2024,31.0,kr KOR,Tottenham,EPL,FW,2.0,2.0,0.0,100.0,1.0
Shola Ameobi,2010-2011,28.0,ng NGA,Newcastle Utd,EPL,FW,2.0,2.0,0.0,100.0,1.0
Sergio Agüero,2012-2013,24.0,ar ARG,Manchester City,EPL,FW,2.0,2.0,0.0,100.0,1.0
Sergio Agüero,2018-2019,30.0,ar ARG,Manchester City,EPL,FW,2.0,2.0,0.0,100.0,1.0
Santi Cazorla,2016-2017,31.0,es ESP,Arsenal,EPL,MF,2.0,2.0,0.0,100.0,1.0
Sam Vokes,2016-2017,26.0,wls WAL,Burnley,EPL,FW,2.0,2.0,0.0,100.0,1.0
Ryan Giggs,2009-2010,35.0,wls WAL,Manchester Utd,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
Ross Barkley,2015-2016,21.0,eng ENG,Everton,EPL,MF,2.0,2.0,0.0,100.0,1.0
Romelu Lukaku,2014-2015,21.0,be BEL,Everton,EPL,FW,2.0,2.0,0.0,100.0,1.0
Robin van Persie,2008-2009,24.0,nl NED,Arsenal,EPL,FW,2.0,2.0,0.0,100.0,1.0
Robin van Persie,2013-2014,29.0,nl NED,Manchester Utd,EPL,FW,2.0,2.0,0.0,100.0,1.0
Robert Snodgrass,2016-2017,28.0,sct SCO,2 Teams,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
Robbie Savage,2003-2004,28.0,wls WAL,Birmingham City,EPL,MF,2.0,2.0,0.0,100.0,1.0
Robbie Keane,2008-2009,28.0,ie IRL,2 Teams,EPL,FW,2.0,2.0,0.0,100.0,1.0
Robbie Keane,2006-2007,26.0,ie IRL,Tottenham,EPL,FW,2.0,2.0,0.0,100.0,1.0
Robbie Fowler,1997-1998,22.0,eng ENG,Liverpool,EPL,FW,2.0,2.0,0.0,100.0,1.0
Robbie Brady,2013-2014,21.0,ie IRL,Hull City,EPL,"DF,FW",2.0,2.0,0.0,100.0,1.0
Rúben Neves,2018-2019,21.0,pt POR,Wolves,EPL,MF,2.0,2.0,0.0,100.0,1.0
Raúl Jiménez,2018-2019,27.0,mx MEX,Wolves,EPL,FW,2.0,2.0,0.0,100.0,1.0
Pierre-Emerick Aubameyang,2019-2020,30.0,ga GAB,Arsenal,EPL,FW,2.0,2.0,0.0,100.0,1.0
Pierre-Emerick Aubameyang,2020-2021,31.0,ga GAB,Arsenal,EPL,FW,2.0,2.0,0.0,100.0,1.0
Phil Jagielka,2006-2007,23.0,eng ENG,Sheffield Utd,EPL,"DF,MF",2.0,2.0,0.0,100.0,1.0
Peter Ndlovu,1993-1994,20.0,zw ZIM,Coventry City,EPL,FW,2.0,2.0,0.0,100.0,1.0
Paul Dickov,2005-2006,32.0,sct SCO,Blackburn,EPL,FW,2.0,2.0,0.0,100.0,1.0
Paul Devlin,2002-2003,30.0,sct SCO,Birmingham City,EPL,MF,2.0,2.0,0.0,100.0,1.0
Patrick Bamford,2020-2021,26.0,eng ENG,Leeds United,EPL,FW,2.0,2.0,0.0,100.0,1.0
Paolo Di Canio,1999-2000,31.0,it ITA,West Ham,EPL,FW,2.0,2.0,0.0,100.0,1.0
Pablo Sarabia,2023-2024,31.0,es ESP,Wolves,EPL,"MF,FW",2.0,2.0,0.0,100.0,1.0
Ollie Watkins,2024-2025,28.0,eng ENG,Aston Villa,EPL,FW,2.0,2.0,0.0,100.0,1.0
Oliver McBurnie,2023-2024,27.0,sct SCO,Sheffield Utd,EPL,FW,2.0,2.0,0.0,100.0,1.0
Nolberto Solano,2006-2007,31.0,pe PER,Newcastle Utd,EPL,MF,2.0,2.0,0.0,100.0,1.0
Nicolas Anelka,2004-2005,25.0,fr FRA,Manchester City,EPL,FW,2.0,2.0,0.0,100.0,1.0
Muzzy Izzet,2000-2001,25.0,tr TUR,Leicester City,EPL,MF,2.0,2.0,0.0,100.0,1.0
Morgan Gibbs-White,2022-2023,22.0,eng ENG,2 Teams,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
Mikel Arteta,2008-2009,26.0,es ESP,Everton,EPL,MF,2.0,2.0,0.0,100.0,1.0
Mikel Arteta,2009-2010,27.0,es ESP,Everton,EPL,MF,2.0,2.0,0.0,100.0,1.0
Mikel Arteta,2013-2014,31.0,es ESP,Arsenal,EPL,MF,2.0,2.0,0.0,100.0,1.0
Mikael Forssell,2005-2006,24.0,fi FIN,Birmingham City,EPL,FW,2.0,2.0,0.0,100.0,1.0
Michael Ricketts,2003-2004,24.0,eng ENG,Middlesbrough,EPL,FW,2.0,2.0,0.0,100.0,1.0
Michael Owen,2007-2008,27.0,eng ENG,Newcastle Utd,EPL,FW,2.0,2.0,0.0,100.0,1.0
Michael Ballack,2007-2008,30.0,de GER,Chelsea,EPL,MF,2.0,2.0,0.0,100.0,1.0
Matthew Taylor,2005-2006,23.0,eng ENG,Portsmouth,EPL,"DF,MF",2.0,2.0,0.0,100.0,1.0
Matthew Etherington,2010-2011,28.0,eng ENG,Stoke City,EPL,MF,2.0,2.0,0.0,100.0,1.0
Matt Le Tissier,1992-1993,23.0,eng ENG,Southampton,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
Mateusz Klich,2020-2021,30.0,pl POL,Leeds United,EPL,MF,2.0,2.0,0.0,100.0,1.0
Massimo Maccarone,2002-2003,22.0,it ITA,Middlesbrough,EPL,FW,2.0,2.0,0.0,100.0,1.0
Martin Ødegaard,2023-2024,24.0,no NOR,Arsenal,EPL,MF,2.0,2.0,0.0,100.0,1.0
Marlon King,2008-2009,28.0,jm JAM,2 Teams,EPL,FW,2.0,2.0,0.0,100.0,1.0
Mark Viduka,2003-2004,27.0,au AUS,Leeds United,EPL,FW,2.0,2.0,0.0,100.0,1.0
Mark Noble,2017-2018,30.0,eng ENG,West Ham,EPL,MF,2.0,2.0,0.0,100.0,1.0
Mark Noble,2013-2014,26.0,eng ENG,West Ham,EPL,MF,2.0,2.0,0.0,100.0,1.0
Mark Noble,2007-2008,20.0,eng ENG,West Ham,EPL,MF,2.0,2.0,0.0,100.0,1.0
Mario Balotelli,2010-2011,19.0,it ITA,Manchester City,EPL,FW,2.0,2.0,0.0,100.0,1.0
Marians Pahars,2001-2002,24.0,lv LVA,Southampton,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
Marcus Stewart,2000-2001,27.0,eng ENG,Ipswich Town,EPL,FW,2.0,2.0,0.0,100.0,1.0
Marcus Rashford,2023-2024,25.0,eng ENG,Manchester Utd,EPL,FW,2.0,2.0,0.0,100.0,1.0
Manuel Lanzini,2016-2017,23.0,ar ARG,West Ham,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
Malcolm Allen,1993-1994,26.0,wls WAL,Newcastle Utd,EPL,FW,2.0,2.0,0.0,100.0,1.0
Luka Milivojević,2019-2020,28.0,rs SRB,Crystal Palace,EPL,MF,2.0,2.0,0.0,100.0,1.0
Luka Milivojević,2016-2017,25.0,rs SRB,Crystal Palace,EPL,MF,2.0,2.0,0.0,100.0,1.0
Lucas Paquetá,2024-2025,26.0,br BRA,West Ham,EPL,"MF,FW",2.0,2.0,0.0,100.0,1.0
Lucas Paquetá,2023-2024,25.0,br BRA,West Ham,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
Louis Saha,2009-2010,30.0,fr FRA,Everton,EPL,FW,2.0,2.0,0.0,100.0,1.0
Louis Saha,2007-2008,28.0,fr FRA,Manchester Utd,EPL,FW,2.0,2.0,0.0,100.0,1.0
Louis Saha,2006-2007,27.0,fr FRA,Manchester Utd,EPL,FW,2.0,2.0,0.0,100.0,1.0
Louis Saha,2002-2003,23.0,fr FRA,Fulham,EPL,FW,2.0,2.0,0.0,100.0,1.0
Liam Delap,2024-2025,21.0,eng ENG,Ipswich Town,EPL,FW,2.0,2.0,0.0,100.0,1.0
Les Ferdinand,1993-1994,26.0,eng ENG,QPR,EPL,FW,2.0,2.0,0.0,100.0,1.0
Leonardo Ulloa,2014-2015,28.0,ar ARG,Leicester City,EPL,FW,2.0,2.0,0.0,100.0,1.0
Leighton Baines,2017-2018,32.0,eng ENG,Everton,EPL,DF,2.0,2.0,0.0,100.0,1.0
Leighton Baines,2012-2013,27.0,eng ENG,Everton,EPL,DF,2.0,2.0,0.0,100.0,1.0
Kevin Doyle,2010-2011,26.0,ie IRL,Wolves,EPL,FW,2.0,2.0,0.0,100.0,1.0
Kevin De Bruyne,2019-2020,28.0,be BEL,Manchester City,EPL,MF,2.0,2.0,0.0,100.0,1.0
Junior Stanislas,2016-2017,26.0,eng ENG,Bournemouth,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
Julián Álvarez,2023-2024,23.0,ar ARG,Manchester City,EPL,"MF,FW",2.0,2.0,0.0,100.0,1.0
Juan Pablo Ángel,2001-2002,25.0,co COL,Aston Villa,EPL,FW,2.0,2.0,0.0,100.0,1.0
Joshua King,2017-2018,25.0,no NOR,Bournemouth,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
Jorginho,2022-2023,30.0,it ITA,2 Teams,EPL,MF,2.0,2.0,0.0,100.0,1.0
Jordi Gómez,2011-2012,26.0,es ESP,Wigan Athletic,EPL,MF,2.0,2.0,0.0,100.0,1.0
John Sheridan,1992-1993,27.0,ie IRL,Sheffield Weds,EPL,MF,2.0,2.0,0.0,100.0,1.0
Joey Barton,2010-2011,27.0,eng ENG,Newcastle Utd,EPL,MF,2.0,2.0,0.0,100.0,1.0
Jimmy Floyd Hasselbaink,2003-2004,31.0,nl NED,Chelsea,EPL,FW,2.0,2.0,0.0,100.0,1.0
Jean-Philippe Mateta,2023-2024,26.0,fr FRA,Crystal Palace,EPL,FW,2.0,2.0,0.0,100.0,1.0
Jean-Philippe Mateta,2024-2025,27.0,fr FRA,Crystal Palace,EPL,FW,2.0,2.0,0.0,100.0,1.0
Jan Mølby,1993-1994,30.0,dk DEN,Liverpool,EPL,MF,2.0,2.0,0.0,100.0,1.0
Jan Mølby,1994-1995,31.0,dk DEN,Liverpool,EPL,MF,2.0,2.0,0.0,100.0,1.0
Jan Åge Fjørtoft,1993-1994,26.0,no NOR,Swindon Town,EPL,FW,2.0,2.0,0.0,100.0,1.0
Jamie Redknapp,1998-1999,25.0,eng ENG,Liverpool,EPL,MF,2.0,2.0,0.0,100.0,1.0
James Ward-Prowse,2023-2024,28.0,eng ENG,West Ham,EPL,MF,2.0,2.0,0.0,100.0,1.0
James Milner,2019-2020,33.0,eng ENG,Liverpool,EPL,"MF,DF",2.0,2.0,0.0,100.0,1.0
James McFadden,2007-2008,24.0,sct SCO,2 Teams,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
James Beattie,2006-2007,28.0,eng ENG,Everton,EPL,FW,2.0,2.0,0.0,100.0,1.0
James Beattie,2003-2004,25.0,eng ENG,Southampton,EPL,FW,2.0,2.0,0.0,100.0,1.0
James Beattie,2001-2002,23.0,eng ENG,Southampton,EPL,FW,2.0,2.0,0.0,100.0,1.0
Iliman Ndiaye,2024-2025,24.0,sn SEN,Everton,EPL,FW,2.0,2.0,0.0,100.0,1.0
Heiðar Helguson,2011-2012,33.0,is ISL,QPR,EPL,FW,2.0,2.0,0.0,100.0,1.0
Hatem Ben Arfa,2012-2013,25.0,fr FRA,Newcastle Utd,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
Harry Kane,2019-2020,26.0,eng ENG,Tottenham,EPL,FW,2.0,2.0,0.0,100.0,1.0
Grant Holt,2011-2012,30.0,eng ENG,Norwich City,EPL,FW,2.0,2.0,0.0,100.0,1.0
Graham Stuart,2000-2001,29.0,eng ENG,Charlton Ath,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
Gordon Strachan,1992-1993,35.0,sct SCO,Leeds United,EPL,MF,2.0,2.0,0.0,100.0,1.0
Gary Speed,2005-2006,35.0,wls WAL,Bolton,EPL,MF,2.0,2.0,0.0,100.0,1.0
Gary McAllister,1992-1993,27.0,sct SCO,Leeds United,EPL,MF,2.0,2.0,0.0,100.0,1.0
Gary McAllister,1998-1999,33.0,sct SCO,Coventry City,EPL,MF,2.0,2.0,0.0,100.0,1.0
Frank Lampard,2008-2009,30.0,eng ENG,Chelsea,EPL,MF,2.0,2.0,0.0,100.0,1.0
Frank Lampard,2003-2004,25.0,eng ENG,Chelsea,EPL,MF,2.0,2.0,0.0,100.0,1.0
Francesco Baiano,1998-1999,30.0,it ITA,Derby County,EPL,FW,2.0,2.0,0.0,100.0,1.0
Fabinho,2021-2022,27.0,br BRA,Liverpool,EPL,MF,2.0,2.0,0.0,100.0,1.0
Eric Cantona,1993-1994,27.0,fr FRA,Manchester Utd,EPL,FW,2.0,2.0,0.0,100.0,1.0
Elano,2007-2008,26.0,br BRA,Manchester City,EPL,MF,2.0,2.0,0.0,100.0,1.0
Eden Hazard,2012-2013,21.0,be BEL,Chelsea,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
Eden Hazard,2017-2018,26.0,be BEL,Chelsea,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
Dwight Yorke,1995-1996,23.0,tt TRI,Aston Villa,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
Duncan Ferguson,2001-2002,29.0,sct SCO,Everton,EPL,FW,2.0,2.0,0.0,100.0,1.0
Dominic Calvert-Lewin,2023-2024,26.0,eng ENG,Everton,EPL,FW,2.0,2.0,0.0,100.0,1.0
Djibril Cissé,2005-2006,23.0,fr FRA,Liverpool,EPL,FW,2.0,2.0,0.0,100.0,1.0
Dirk Kuyt,2007-2008,27.0,nl NED,Liverpool,EPL,"DF,FW",2.0,2.0,0.0,100.0,1.0
Dimitar Berbatov,2013-2014,32.0,bg BUL,Fulham,EPL,FW,2.0,2.0,0.0,100.0,1.0
Dimitar Berbatov,2011-2012,30.0,bg BUL,Manchester Utd,EPL,FW,2.0,2.0,0.0,100.0,1.0
Denis Irwin,1997-1998,31.0,ie IRL,Manchester Utd,EPL,DF,2.0,2.0,0.0,100.0,1.0
Demarai Gray,2022-2023,26.0,jm JAM,Everton,EPL,"FW,MF",2.0,2.0,0.0,100.0,1.0
