Player,Season,Age,Nation,Team,Comp,Pos,PKatt,PK,PKm,Conversion%,conversion_rate
Alan Shearer,1998-1999,27.0,eng ENG,Newcastle Utd,EPL,FW,7.0,6.0,1.0,85.71,0.8571428571428571
Yaya Touré,2013-2014,30.0,ci CIV,Manchester City,EPL,MF,6.0,6.0,0.0,100.0,1.0
Santi Cazorla,2014-2015,29.0,es ESP,Arsenal,EPL,MF,6.0,6.0,0.0,100.0,1.0
Mohamed Salah,2020-2021,28.0,eg EGY,Liverpool,EPL,FW,6.0,6.0,0.0,100.0,1.0
Matt Le Tissier,1993-1994,24.0,eng ENG,Southampton,EPL,"FW,MF",6.0,6.0,0.0,100.0,1.0
Justin Kluivert,2024-2025,25.0,nl NED,Bournemouth,EPL,"MF,FW",6.0,6.0,0.0,100.0,1.0
Graham Alexander,2009-2010,37.0,sct SCO,Burnley,EPL,"DF,MF",6.0,6.0,0.0,100.0,1.0
Bukayo Saka,2023-2024,21.0,eng ENG,Arsenal,EPL,FW,6.0,6.0,0.0,100.0,1.0
Alexis Mac Allister,2022-2023,23.0,ar ARG,Brighton,EPL,MF,6.0,6.0,0.0,100.0,1.0
Cristiano Ronaldo,2015-2016,30.0,pt POR,Real Madrid,La Liga,"FW,MF",9.0,6.0,3.0,66.67,0.6666666666666666
Samuel Eto'o,2003-2004,22.0,cm CMR,Mallorca,La Liga,FW,8.0,6.0,2.0,75.0,0.75
Carlos Bacca,2014-2015,27.0,co COL,Sevilla,La Liga,FW,8.0,6.0,2.0,75.0,0.75
Cristiano Ronaldo,2016-2017,31.0,pt POR,Real Madrid,La Liga,"FW,MF",8.0,6.0,2.0,75.0,0.75
Guilherme Siqueira,2012-2013,26.0,br BRA,Granada,La Liga,"DF,MF",7.0,6.0,1.0,85.71,0.8571428571428571
Kylian Mbappé,2024-2025,25.0,fr FRA,Real Madrid,La Liga,FW,7.0,6.0,1.0,85.71,0.8571428571428571
Joselu,2021-2022,31.0,es ESP,Alavés,La Liga,FW,7.0,6.0,1.0,85.71,0.8571428571428571
Mikel Oyarzabal,2020-2021,23.0,es ESP,Real Sociedad,La Liga,"FW,MF",7.0,6.0,1.0,85.71,0.8571428571428571
David Villa,2005-2006,23.0,es ESP,Valencia,La Liga,"FW,MF",7.0,6.0,1.0,85.71,0.8571428571428571
Charles,2018-2019,34.0,br BRA,Eibar,La Liga,FW,7.0,6.0,1.0,85.71,0.8571428571428571
Gaizka Mendieta,1999-2000,25.0,es ESP,Valencia,La Liga,MF,7.0,6.0,1.0,85.71,0.8571428571428571
Lionel Messi,2016-2017,29.0,ar ARG,Barcelona,La Liga,"FW,MF",7.0,6.0,1.0,85.71,0.8571428571428571
Diego Forlán,2008-2009,29.0,uy URU,Atlético Madrid,La Liga,"FW,MF",7.0,6.0,1.0,85.71,0.8571428571428571
Cristiano Ronaldo,2012-2013,27.0,pt POR,Real Madrid,La Liga,"FW,MF",7.0,6.0,1.0,85.71,0.8571428571428571
Luís Figo,2002-2003,29.0,pt POR,Real Madrid,La Liga,"FW,MF",7.0,6.0,1.0,85.71,0.8571428571428571
Sergio Ramos,2019-2020,33.0,es ESP,Real Madrid,La Liga,DF,6.0,6.0,0.0,100.0,1.0
Enzo Maresca,2005-2006,25.0,it ITA,Sevilla,La Liga,MF,6.0,6.0,0.0,100.0,1.0
Júlio Baptista,2003-2004,21.0,br BRA,Sevilla,La Liga,"FW,MF",6.0,6.0,0.0,100.0,1.0
Gabi,2010-2011,27.0,es ESP,Zaragoza,La Liga,MF,6.0,6.0,0.0,100.0,1.0
Daniel Parejo,2017-2018,28.0,es ESP,Valencia,La Liga,MF,6.0,6.0,0.0,100.0,1.0
Iago Aspas,2016-2017,28.0,es ESP,Celta Vigo,La Liga,"FW,MF",6.0,6.0,0.0,100.0,1.0
Raúl Tamudo,2003-2004,25.0,es ESP,Espanyol,La Liga,FW,6.0,6.0,0.0,100.0,1.0
Cristiano Ronaldo,2013-2014,28.0,pt POR,Real Madrid,La Liga,"FW,MF",6.0,6.0,0.0,100.0,1.0
Darren Bent,2009-2010,25.0,eng ENG,Sunderland,EPL,FW,8.0,5.0,3.0,62.5,0.625
Wilfried Zaha,2021-2022,28.0,ci CIV,Crystal Palace,EPL,FW,7.0,5.0,2.0,71.43,0.7142857142857143
Mohamed Salah,2023-2024,31.0,eg EGY,Liverpool,EPL,FW,7.0,5.0,2.0,71.43,0.7142857142857143
Dion Dublin,1997-1998,28.0,eng ENG,Coventry City,EPL,"DF,FW",7.0,5.0,2.0,71.43,0.7142857142857143
Alan Shearer,2001-2002,30.0,eng ENG,Newcastle Utd,EPL,FW,7.0,5.0,2.0,71.43,0.7142857142857143
Troy Deeney,2019-2020,31.0,eng ENG,Watford,EPL,FW,6.0,5.0,1.0,83.33,0.8333333333333334
Sergio Agüero,2014-2015,26.0,ar ARG,Manchester City,EPL,FW,6.0,5.0,1.0,83.33,0.8333333333333334
Paul Bodin,1993-1994,28.0,wls WAL,Swindon Town,EPL,DF,6.0,5.0,1.0,83.33,0.8333333333333334
Mohamed Salah,2021-2022,29.0,eg EGY,Liverpool,EPL,FW,6.0,5.0,1.0,83.33,0.8333333333333334
Mikel Arteta,2012-2013,30.0,es ESP,Arsenal,EPL,MF,6.0,5.0,1.0,83.33,0.8333333333333334
Julian Dicks,1995-1996,26.0,eng ENG,West Ham,EPL,DF,6.0,5.0,1.0,83.33,0.8333333333333334
Julian Dicks,1996-1997,27.0,eng ENG,West Ham,EPL,DF,6.0,5.0,1.0,83.33,0.8333333333333334
Joshua King,2018-2019,26.0,no NOR,Bournemouth,EPL,"FW,MF",6.0,5.0,1.0,83.33,0.8333333333333334
Jamie Vardy,2017-2018,30.0,eng ENG,Leicester City,EPL,FW,6.0,5.0,1.0,83.33,0.8333333333333334
Jamie Vardy,2015-2016,28.0,eng ENG,Leicester City,EPL,FW,6.0,5.0,1.0,83.33,0.8333333333333334
Harry Kane,2016-2017,23.0,eng ENG,Tottenham,EPL,FW,6.0,5.0,1.0,83.33,0.8333333333333334
Harry Kane,2022-2023,29.0,eng ENG,Tottenham,EPL,FW,6.0,5.0,1.0,83.33,0.8333333333333334
Gilberto Silva,2006-2007,29.0,br BRA,Arsenal,EPL,"DF,MF",6.0,5.0,1.0,83.33,0.8333333333333334
Gareth Barry,2007-2008,26.0,eng ENG,Aston Villa,EPL,MF,6.0,5.0,1.0,83.33,0.8333333333333334
Gareth Barry,2006-2007,25.0,eng ENG,Aston Villa,EPL,MF,6.0,5.0,1.0,83.33,0.8333333333333334
Frank Lampard,2012-2013,34.0,eng ENG,Chelsea,EPL,MF,6.0,5.0,1.0,83.33,0.8333333333333334
David Unsworth,1999-2000,25.0,eng ENG,Everton,EPL,DF,6.0,5.0,1.0,83.33,0.8333333333333334
Carlos Tevez,2010-2011,26.0,ar ARG,Manchester City,EPL,"FW,MF",6.0,5.0,1.0,83.33,0.8333333333333334
Benni McCarthy,2007-2008,29.0,za RSA,Blackburn,EPL,FW,6.0,5.0,1.0,83.33,0.8333333333333334
Alexander Isak,2023-2024,23.0,se SWE,Newcastle Utd,EPL,FW,6.0,5.0,1.0,83.33,0.8333333333333334
Peter Beagrie,1999-2000,33.0,eng ENG,Bradford City,EPL,FW,5.0,5.0,0.0,100.0,1.0
Mikel Arteta,2006-2007,24.0,es ESP,Everton,EPL,MF,5.0,5.0,0.0,100.0,1.0
Julian Dicks,1994-1995,25.0,eng ENG,West Ham,EPL,DF,5.0,5.0,0.0,100.0,1.0
Jermain Defoe,2016-2017,33.0,eng ENG,Sunderland,EPL,FW,5.0,5.0,0.0,100.0,1.0
James Beattie,2002-2003,24.0,eng ENG,Southampton,EPL,FW,5.0,5.0,0.0,100.0,1.0
Ivan Toney,2021-2022,25.0,eng ENG,Brentford,EPL,FW,5.0,5.0,0.0,100.0,1.0
Harry Kane,2015-2016,22.0,eng ENG,Tottenham,EPL,FW,5.0,5.0,0.0,100.0,1.0
Gary Speed,2006-2007,36.0,wls WAL,Bolton,EPL,MF,5.0,5.0,0.0,100.0,1.0
Dirk Kuyt,2010-2011,30.0,nl NED,Liverpool,EPL,"DF,FW",5.0,5.0,0.0,100.0,1.0
Danny Murphy,2008-2009,31.0,eng ENG,Fulham,EPL,MF,5.0,5.0,0.0,100.0,1.0
Carlton Morris,2023-2024,27.0,eng ENG,Luton Town,EPL,"FW,MF",5.0,5.0,0.0,100.0,1.0
Carlos Tevez,2009-2010,25.0,ar ARG,Manchester City,EPL,"FW,MF",5.0,5.0,0.0,100.0,1.0
Bryan Mbeumo,2024-2025,24.0,cm CMR,Brentford,EPL,FW,5.0,5.0,0.0,100.0,1.0
Alan Shearer,1999-2000,28.0,eng ENG,Newcastle Utd,EPL,FW,5.0,5.0,0.0,100.0,1.0
João Mário,2022-2023,29.0,pt POR,Benfica,CL,,5.0,5.0,0.0,100.0,1.0
Diego Costa,2013-2014,24.0,es ESP,Atlético Madrid,La Liga,FW,8.0,5.0,3.0,62.5,0.625
Neymar,2015-2016,23.0,br BRA,Barcelona,La Liga,"FW,MF",7.0,5.0,2.0,71.43,0.7142857142857143
Iago Aspas,2019-2020,31.0,es ESP,Celta Vigo,La Liga,FW,7.0,5.0,2.0,71.43,0.7142857142857143
Willian José,2018-2019,26.0,br BRA,Real Sociedad,La Liga,FW,7.0,5.0,2.0,71.43,0.7142857142857143
Frédéric Kanouté,2006-2007,28.0,ml MLI,Sevilla,La Liga,FW,6.0,5.0,1.0,83.33,0.8333333333333334
Diego Milito,2007-2008,28.0,ar ARG,Zaragoza,La Liga,FW,6.0,5.0,1.0,83.33,0.8333333333333334
Cristhian Stuani,2022-2023,35.0,uy URU,Girona,La Liga,FW,6.0,5.0,1.0,83.33,0.8333333333333334
Sergio García,2013-2014,30.0,es ESP,Espanyol,La Liga,"FW,MF",6.0,5.0,1.0,83.33,0.8333333333333334
Rivaldo,2000-2001,28.0,br BRA,Barcelona,La Liga,"FW,MF",6.0,5.0,1.0,83.33,0.8333333333333334
Radamel Falcao,2011-2012,25.0,co COL,Atlético Madrid,La Liga,FW,6.0,5.0,1.0,83.33,0.8333333333333334
Daniel Parejo,2019-2020,30.0,es ESP,Valencia,La Liga,MF,6.0,5.0,1.0,83.33,0.8333333333333334
Daniel Parejo,2018-2019,29.0,es ESP,Valencia,La Liga,MF,6.0,5.0,1.0,83.33,0.8333333333333334
Borja Iglesias,2022-2023,29.0,es ESP,Betis,La Liga,FW,6.0,5.0,1.0,83.33,0.8333333333333334
José Barkero,2008-2009,29.0,es ESP,Numancia,La Liga,MF,6.0,5.0,1.0,83.33,0.8333333333333334
Roberto Soldado,2012-2013,27.0,es ESP,Valencia,La Liga,FW,6.0,5.0,1.0,83.33,0.8333333333333334
Salva Ballesta,2003-2004,28.0,es ESP,Málaga,La Liga,FW,6.0,5.0,1.0,83.33,0.8333333333333334
Raúl Tamudo,2004-2005,26.0,es ESP,Espanyol,La Liga,FW,6.0,5.0,1.0,83.33,0.8333333333333334
Gaizka Mendieta,2000-2001,26.0,es ESP,Valencia,La Liga,MF,6.0,5.0,1.0,83.33,0.8333333333333334
Lionel Messi,2014-2015,27.0,ar ARG,Barcelona,La Liga,"FW,MF",6.0,5.0,1.0,83.33,0.8333333333333334
Luís Figo,2003-2004,30.0,pt POR,Real Madrid,La Liga,"FW,MF",6.0,5.0,1.0,83.33,0.8333333333333334
Enes Ünal,2022-2023,25.0,tr TUR,Getafe,La Liga,FW,6.0,5.0,1.0,83.33,0.8333333333333334
Giuseppe Rossi,2007-2008,20.0,it ITA,Villarreal,La Liga,FW,6.0,5.0,1.0,83.33,0.8333333333333334
Raúl de Tomás,2021-2022,26.0,es ESP,Espanyol,La Liga,FW,5.0,5.0,0.0,100.0,1.0
Sergio Ramos,2018-2019,32.0,es ESP,Real Madrid,La Liga,DF,5.0,5.0,0.0,100.0,1.0
Walter Pandiani,2002-2003,26.0,uy URU,Mallorca,La Liga,FW,5.0,5.0,0.0,100.0,1.0
Julio Álvarez,2002-2003,21.0,ve VEN,Rayo Vallecano,La Liga,MF,5.0,5.0,0.0,100.0,1.0
Cristhian Stuani,2018-2019,31.0,uy URU,Girona,La Liga,FW,5.0,5.0,0.0,100.0,1.0
Cristhian Stuani,2017-2018,30.0,uy URU,Girona,La Liga,FW,5.0,5.0,0.0,100.0,1.0
Tomer Hemed,2011-2012,24.0,il ISR,Mallorca,La Liga,FW,5.0,5.0,0.0,100.0,1.0
Aritz Aduriz,2014-2015,33.0,es ESP,Athletic Club,La Liga,FW,5.0,5.0,0.0,100.0,1.0
Aritz Aduriz,2016-2017,35.0,es ESP,Athletic Club,La Liga,FW,5.0,5.0,0.0,100.0,1.0
Diego Castro,2010-2011,28.0,es ESP,Sporting Gijón,La Liga,"FW,MF",5.0,5.0,0.0,100.0,1.0
Adrián González,2016-2017,28.0,es ESP,Eibar,La Liga,MF,5.0,5.0,0.0,100.0,1.0
Joselu,2022-2023,32.0,es ESP,Espanyol,La Liga,FW,5.0,5.0,0.0,100.0,1.0
Jonathan Calleri,2017-2018,23.0,ar ARG,Las Palmas,La Liga,FW,5.0,5.0,0.0,100.0,1.0
Karim Benzema,2019-2020,31.0,fr FRA,Real Madrid,La Liga,FW,5.0,5.0,0.0,100.0,1.0
Borja Iglesias,2020-2021,27.0,es ESP,Betis,La Liga,FW,5.0,5.0,0.0,100.0,1.0
Iago Aspas,2018-2019,30.0,es ESP,Celta Vigo,La Liga,"FW,MF",5.0,5.0,0.0,100.0,1.0
Iago Aspas,2020-2021,32.0,es ESP,Celta Vigo,La Liga,FW,5.0,5.0,0.0,100.0,1.0
Lucas Ocampos,2019-2020,25.0,ar ARG,Sevilla,La Liga,"FW,MF",5.0,5.0,0.0,100.0,1.0
Lucas Pérez,2019-2020,30.0,es ESP,Alavés,La Liga,FW,5.0,5.0,0.0,100.0,1.0
Piti,2012-2013,31.0,es ESP,Rayo Vallecano,La Liga,"FW,MF",5.0,5.0,0.0,100.0,1.0
Javad Nekounam,2010-2011,29.0,ir IRN,Osasuna,La Liga,MF,5.0,5.0,0.0,100.0,1.0
Fernando Torres,2003-2004,19.0,es ESP,Atlético Madrid,La Liga,FW,5.0,5.0,0.0,100.0,1.0
Jorge López,2002-2003,23.0,es ESP,Villarreal,La Liga,MF,5.0,5.0,0.0,100.0,1.0
Xabi Prieto,2005-2006,21.0,es ESP,Real Sociedad,La Liga,MF,5.0,5.0,0.0,100.0,1.0
Lionel Messi,2019-2020,32.0,ar ARG,Barcelona,La Liga,FW,5.0,5.0,0.0,100.0,1.0
Roberto Torres,2019-2020,30.0,es ESP,Osasuna,La Liga,"MF,FW",5.0,5.0,0.0,100.0,1.0
Aleksandar Mitrović,2022-2023,27.0,rs SRB,Fulham,EPL,FW,8.0,4.0,4.0,50.0,0.5
Riyad Mahrez,2015-2016,24.0,dz ALG,Leicester City,EPL,"FW,MF",6.0,4.0,2.0,66.67,0.6666666666666666
Jonathan Walters,2011-2012,27.0,ie IRL,Stoke City,EPL,"FW,MF",6.0,4.0,2.0,66.67,0.6666666666666666
Glenn Murray,2017-2018,33.0,eng ENG,Brighton,EPL,FW,6.0,4.0,2.0,66.67,0.6666666666666666
Eric Cantona,1996-1997,30.0,fr FRA,Manchester Utd,EPL,FW,6.0,4.0,2.0,66.67,0.6666666666666666
Yakubu Aiyegbeni,2011-2012,28.0,ng NGA,Blackburn,EPL,FW,5.0,4.0,1.0,80.0,0.8
Yakubu Aiyegbeni,2006-2007,23.0,ng NGA,Middlesbrough,EPL,FW,5.0,4.0,1.0,80.0,0.8
Wayne Rooney,2009-2010,23.0,eng ENG,Manchester Utd,EPL,"FW,MF",5.0,4.0,1.0,80.0,0.8
Thierry Henry,2002-2003,24.0,fr FRA,Arsenal,EPL,FW,5.0,4.0,1.0,80.0,0.8
Steven Gerrard,2014-2015,34.0,eng ENG,Liverpool,EPL,MF,5.0,4.0,1.0,80.0,0.8
Steven Gerrard,2012-2013,32.0,eng ENG,Liverpool,EPL,MF,5.0,4.0,1.0,80.0,0.8
Steven Gerrard,2008-2009,28.0,eng ENG,Liverpool,EPL,MF,5.0,4.0,1.0,80.0,0.8
Sergio Agüero,2015-2016,27.0,ar ARG,Manchester City,EPL,FW,5.0,4.0,1.0,80.0,0.8
Sergio Agüero,2016-2017,28.0,ar ARG,Manchester City,EPL,FW,5.0,4.0,1.0,80.0,0.8
Scott Sinclair,2011-2012,22.0,eng ENG,Swansea City,EPL,"FW,MF",5.0,4.0,1.0,80.0,0.8
Riyad Mahrez,2021-2022,30.0,dz ALG,Manchester City,EPL,FW,5.0,4.0,1.0,80.0,0.8
Pierre-Emerick Aubameyang,2018-2019,29.0,ga GAB,Arsenal,EPL,FW,5.0,4.0,1.0,80.0,0.8
Paolo Di Canio,2001-2002,33.0,it ITA,West Ham,EPL,FW,5.0,4.0,1.0,80.0,0.8
Michael Owen,2003-2004,23.0,eng ENG,Liverpool,EPL,FW,5.0,4.0,1.0,80.0,0.8
Mark Walters,1992-1993,28.0,eng ENG,Liverpool,EPL,MF,5.0,4.0,1.0,80.0,0.8
Kevin Davies,2010-2011,33.0,eng ENG,Bolton,EPL,FW,5.0,4.0,1.0,80.0,0.8
João Pedro,2023-2024,21.0,br BRA,Brighton,EPL,"FW,MF",5.0,4.0,1.0,80.0,0.8
Jimmy Bullard,2009-2010,30.0,eng ENG,Hull City,EPL,MF,5.0,4.0,1.0,80.0,0.8
Jamie Vardy,2019-2020,32.0,eng ENG,Leicester City,EPL,FW,5.0,4.0,1.0,80.0,0.8
Jamie Vardy,2018-2019,31.0,eng ENG,Leicester City,EPL,FW,5.0,4.0,1.0,80.0,0.8
Ian Harte,1999-2000,21.0,ie IRL,Leeds United,EPL,DF,5.0,4.0,1.0,80.0,0.8
Frank Lampard,2010-2011,32.0,eng ENG,Chelsea,EPL,MF,5.0,4.0,1.0,80.0,0.8
Dwight Yorke,1996-1997,24.0,tt TRI,Aston Villa,EPL,"FW,MF",5.0,4.0,1.0,80.0,0.8
David Dunn,2002-2003,22.0,eng ENG,Blackburn,EPL,MF,5.0,4.0,1.0,80.0,0.8
Cristiano Ronaldo,2007-2008,22.0,pt POR,Manchester Utd,EPL,"FW,MF",5.0,4.0,1.0,80.0,0.8
Bruno Fernandes,2023-2024,28.0,pt POR,Manchester Utd,EPL,"MF,FW",5.0,4.0,1.0,80.0,0.8
Benni McCarthy,2008-2009,30.0,za RSA,Blackburn,EPL,FW,5.0,4.0,1.0,80.0,0.8
Benni McCarthy,2006-2007,28.0,za RSA,Blackburn,EPL,FW,5.0,4.0,1.0,80.0,0.8
Ashley Young,2010-2011,25.0,eng ENG,Aston Villa,EPL,"DF,FW",5.0,4.0,1.0,80.0,0.8
Alessandro Diamanti,2009-2010,26.0,it ITA,West Ham,EPL,"FW,MF",5.0,4.0,1.0,80.0,0.8
Lionel Messi,2011-2012,24.0,ar ARG,Barcelona,CL,,5.0,4.0,1.0,80.0,0.8
Lionel Messi,2020-2021,33.0,ar ARG,Barcelona,CL,,5.0,4.0,1.0,80.0,0.8
Serhou Guirassy,2024-2025,28.0,gn�GUI,Dortmund,CL,,5.0,4.0,1.0,80.0,0.8
Yakubu Aiyegbeni,2004-2005,21.0,ng NGA,Portsmouth,EPL,FW,4.0,4.0,0.0,100.0,1.0
Willian,2019-2020,30.0,br BRA,Chelsea,EPL,"FW,MF",4.0,4.0,0.0,100.0,1.0
Wilfried Bony,2013-2014,24.0,ci CIV,Swansea City,EPL,FW,4.0,4.0,0.0,100.0,1.0
Thierry Henry,2001-2002,23.0,fr FRA,Arsenal,EPL,FW,4.0,4.0,0.0,100.0,1.0
Stuart Pearce,1994-1995,32.0,eng ENG,Nott'ham Forest,EPL,DF,4.0,4.0,0.0,100.0,1.0
Stefano Eranio,1997-1998,30.0,it ITA,Derby County,EPL,MF,4.0,4.0,0.0,100.0,1.0
Sergio Agüero,2017-2018,29.0,ar ARG,Manchester City,EPL,FW,4.0,4.0,0.0,100.0,1.0
Saido Berahino,2014-2015,20.0,bi BDI,West Brom,EPL,"FW,MF",4.0,4.0,0.0,100.0,1.0
Saïd Benrahma,2022-2023,26.0,dz ALG,West Ham,EPL,"FW,MF",4.0,4.0,0.0,100.0,1.0
Ruud van Nistelrooy,2001-2002,25.0,nl NED,Manchester Utd,EPL,FW,4.0,4.0,0.0,100.0,1.0
Roberto Soldado,2013-2014,28.0,es ESP,Tottenham,EPL,FW,4.0,4.0,0.0,100.0,1.0
Robbie Fowler,1998-1999,23.0,eng ENG,Liverpool,EPL,FW,4.0,4.0,0.0,100.0,1.0
Raphinha,2021-2022,24.0,br BRA,Leeds United,EPL,"FW,MF",4.0,4.0,0.0,100.0,1.0
Rafael van der Vaart,2010-2011,27.0,nl NED,Tottenham,EPL,MF,4.0,4.0,0.0,100.0,1.0
Raúl Jiménez,2019-2020,28.0,mx MEX,Wolves,EPL,FW,4.0,4.0,0.0,100.0,1.0
Peter Beardsley,1992-1993,31.0,eng ENG,Everton,EPL,"FW,MF",4.0,4.0,0.0,100.0,1.0
Nicolas Anelka,2003-2004,24.0,fr FRA,Manchester City,EPL,FW,4.0,4.0,0.0,100.0,1.0
Matt Le Tissier,1996-1997,27.0,eng ENG,Southampton,EPL,"FW,MF",4.0,4.0,0.0,100.0,1.0
Matt Le Tissier,1997-1998,28.0,eng ENG,Southampton,EPL,"FW,MF",4.0,4.0,0.0,100.0,1.0
