Season,Relegated Team,Position,Year Before,Year Before Div,Year Before Was Covid,Year Before Att,Attendance,Covid Year,Year After,Year After Division,Attendance year after,2 years after,2 Years After Div,Attendance 2 years after
2020-21, Sheffield United*,Last,2019-20,PL,,30869,,,2021-22,,27611.0,2022-23,Championship,28746.0
2020-21, West Bromwich Albion*,2nd Last,2019-20,Championship,,24053,,,2021-22,,21481.0,2022-23,Championship,23094.0
2020-21, Fulham*,3rd Last,2019-20,Championship,,18204,,,2021-22,,17774.0,2022-23,PL,23746.0
